"","label_name","GPSLongitude","GPSLatitude"
"366","Coarse sand (with shell fragments)",-65.8058478869498,-45.0201997999102
"367","Coarse sand (with shell fragments)",-65.8059496432543,-45.0202784221619
"368","Coarse sand (with shell fragments)",-65.8061457797885,-45.0204499997199
"369","Coarse sand (with shell fragments)",-65.8106968179345,-45.0236286688596
"370","Coarse sand (with shell fragments)",-65.8062826562673,-45.0205644126981
"371","Coarse sand (with shell fragments)",-65.8065371308476,-45.0208360701799
"372","Rock",-65.8043433353305,-45.018936144188
"373","Rock",-65.8044814690948,-45.0190318655223
"374","Rock",-65.8045729994774,-45.0190872699022
"375","Rock",-65.8046465087682,-45.0191383156925
"376","Rock",-65.8047180902213,-45.0191846676171
"377","Coarse sand (with shell fragments)",-65.8076048176736,-45.021718852222
"378","Coarse sand (with shell fragments)",-65.8076626528054,-45.0217745918781
"379","Coarse sand (with shell fragments)",-65.8089947886765,-45.0227493233979
"380","Coarse sand (with shell fragments)",-65.8091162424535,-45.0228502415121
"381","Gravel (2-10mm)",-65.805174568668,-45.0195056945086
"382","Coarse sand (with shell fragments)",-65.8077691029757,-45.0218517053872
"383","Rock",-65.804965859279,-45.0193549040705
"384","Gravel (2-10mm)",-65.8050367701799,-45.0194045249373
"385","Coarse sand (with shell fragments)",-65.8096545282751,-45.02312223427
"386","Coarse sand (with shell fragments)",-65.8099359925836,-45.0232347194105
"387","Coarse sand (with shell fragments)",-65.8101630583405,-45.0233526527882
"388","Coarse sand (with shell fragments)",-65.8103109151125,-45.0234200432897
"389","Coarse sand (with shell fragments)",-65.8086528070271,-45.0224725529552
"390","Coarse sand (with shell fragments)",-65.8055442944169,-45.019921772182
"391","Coarse sand (with shell fragments)",-65.8057493995875,-45.0201187469065
"392","Coarse sand (with shell fragments)",-65.8092247042805,-45.0229154527187
"393","Coarse sand (with shell fragments)",-65.8066479396075,-45.0209457892925
"394","Coarse sand (with shell fragments)",-65.8068137336522,-45.0210801512003
"395","Coarse sand (with shell fragments)",-65.8069824613631,-45.0212079752237
"396","Coarse sand (with shell fragments)",-65.8071843814105,-45.0213716737926
"397","Coarse sand (with shell fragments)",-65.8074110280722,-45.0215622782707
"398","Coarse sand (with shell fragments)",-65.811290005222,-45.0239847321063
"399","Coarse sand (with shell fragments)",-65.8094910811633,-45.0230521615595
"400","Coarse sand (with shell fragments)",-65.8088240493089,-45.0225862953812
"401","Coarse sand (with shell fragments)",-65.8105115778744,-45.0235311035067
"402","Coarse sand (with shell fragments)",-65.8087590057403,-45.0225387699902
"403","Gravel (2-10mm)",-65.8036353159696,-45.0204875506461
"404","Gravel (2-10mm)",-65.8034373354167,-45.0201730616391
"405","Coarse sand (with shell fragments)",-65.8069893345237,-45.0225451402366
"406","Gravel (2-10mm)",-65.8033942524344,-45.0201029051095
"407","Coarse sand (with shell fragments)",-65.8086188603193,-45.0234564207494
"408","Coarse sand (with shell fragments)",-65.8076758962125,-45.0230132695287
"409","Coarse sand (with shell fragments)",-65.8121325541288,-45.0255424249917
"410","Coarse sand (with shell fragments)",-65.8123342227191,-45.0256877671927
"411","Coarse sand (with shell fragments)",-65.8073008060455,-45.0227634888142
"412","Coarse sand (with shell fragments)",-65.8072262071073,-45.0227078329772
"413","Coarse sand (with shell fragments)",-65.8071482554078,-45.0226551946253
"414","Coarse sand (with shell fragments)",-65.8068250492215,-45.0224433839321
"415","Coarse sand (with shell fragments)",-65.8067462593317,-45.0223880633712
"416","Coarse sand (with shell fragments)",-65.8066647872329,-45.0223356764764
"417","Coarse sand (with shell fragments)",-65.8070678729564,-45.0225999578834
"418","Coarse sand (with shell fragments)",-65.8059629704803,-45.0218999013305
"419","Coarse sand (with shell fragments)",-65.8058816660196,-45.0218534655869
"420","Coarse sand (with shell fragments)",-65.8074971940368,-45.0229010358453
"421","Coarse sand (with shell fragments)",-65.8073771651834,-45.0228162109852
"422","Coarse sand (with shell fragments)",-65.8088696468621,-45.023542419076
"423","Fine sand (no shell fragments)",-65.8041166886687,-45.0208726990968
"424","Gravel (2-10mm)",-65.8036623895168,-45.0205209944397
"425","Coarse sand (with shell fragments)",-65.808282578364,-45.0233154371381
"426","Coarse sand (with shell fragments)",-65.8080052211881,-45.023180488497
"427","Coarse sand (with shell fragments)",-65.8112489338964,-45.0250442046672
"428","Coarse sand (with shell fragments)",-65.8109844010323,-45.0248908996582
"429","Coarse sand (with shell fragments)",-65.8106788806617,-45.0247042346746
"430","Coarse sand (with shell fragments)",-65.8065372146666,-45.0222593173385
"431","Coarse sand (with shell fragments)",-65.8063751924783,-45.0221514422446
"432","Coarse sand (with shell fragments)",-65.8060035388917,-45.0219238735735
"433","Coarse sand (with shell fragments)",-65.8057938236743,-45.0218072813004
"434","Coarse sand (with shell fragments)",-65.809088582173,-45.0236317701638
"435","Fine sand (no shell fragments)",-65.8042367175221,-45.0209462922066
"436","Fine sand (no shell fragments)",-65.8040383178741,-45.0208170432597
"437","Fine sand (no shell fragments)",-65.8039540797472,-45.0207644887269
"438","Fine sand (no shell fragments)",-65.8038695901632,-45.0207074079663
"439","Fine sand (no shell fragments)",-65.8038312010467,-45.0206792447716
"440","Fine sand (no shell fragments)",-65.8037238288671,-45.0205842778087
"441","Coarse sand (with shell fragments)",-65.8119567018002,-45.0254438538104
"442","Coarse sand (with shell fragments)",-65.8117397781461,-45.0253161136061
"443","Gravel (2-10mm)",-65.8035053126514,-45.0202782545239
"444","Gravel (2-10mm)",-65.8034826815128,-45.0202455651015
"445","Coarse sand (with shell fragments)",-65.8115208428353,-45.0251912232488
