video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at
326692,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[943.14,324.07]]",[253.560141],279189,"2021-04-10 22:50:56"
326693,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[983.68,753.54]]",[257.321454],279190,"2021-04-10 22:51:07"
326694,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[422.87,321.38]]",[259.007515],279191,"2021-04-10 22:51:12"
326695,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[47.55,672.37]]",[267.88986],279192,"2021-04-10 22:51:33"
326696,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1030.51,437.67]]",[272.298317],279193,"2021-04-10 22:51:41"
326698,149332,Rock,"Physical > Substrate > Consolidated (hard) > Rock",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1202.55,538.28]]",[286.419057],279195,"2021-04-10 22:52:05"
326699,149469,Metridium,"Biota > Cnidaria > True anemones > Other anemones > Metridium",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1397.59,532.19]]",[286.419057],279196,"2021-04-10 22:52:10"
326700,149469,Metridium,"Biota > Cnidaria > True anemones > Other anemones > Metridium",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1250.74,174.66]]",[286.419057],279197,"2021-04-10 22:52:13"
326702,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1456.12,465.58]]",[287.508257],279199,"2021-04-10 22:52:36"
326703,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1162.83,746.93]]",[289.718907],279200,"2021-04-10 22:52:41"
326704,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[264.74,607.08]]",[291.660077],279201,"2021-04-10 22:52:50"
326705,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[473.83,689.66]]",[293.894315],279202,"2021-04-10 22:52:55"
326706,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[801.59,728.37]]",[293.894315],279203,"2021-04-10 22:52:57"
326707,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1027.13,710.01]]",[293.894315],279204,"2021-04-10 22:52:59"
326709,149332,Rock,"Physical > Substrate > Consolidated (hard) > Rock",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[727.67,788.14]]",[296.425146],279206,"2021-04-10 22:53:09"
326711,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1137.39,782.11]]",[305.126996],279208,"2021-04-10 22:53:28"
326712,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[723.08,636.84]]",[305.126996],279209,"2021-04-10 22:53:31"
326713,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[551.58,751.24]]",[308.596829],279210,"2021-04-10 22:53:39"
326715,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1056.06,715.02]]",[310.264824],279212,"2021-04-10 22:53:47"
326716,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[793.21,805.55]]",[319.917373],279213,"2021-04-10 22:54:03"
326718,149332,Rock,"Physical > Substrate > Consolidated (hard) > Rock",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1035.49,847.66]]",[326.409855],279215,"2021-04-10 22:54:21"
326720,149332,Rock,"Physical > Substrate > Consolidated (hard) > Rock",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[769.06,528.8]]",[333.815529],279217,"2021-04-10 22:54:47"
326721,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[870.02,305.21]]",[338.022936],279218,"2021-04-10 22:54:58"
326722,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[557.23,166.22]]",[361.431284],279219,"2021-04-10 22:55:30"
326723,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[920.01,422.64]]",[390.806384],279220,"2021-04-10 23:04:44"
326724,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[701.14,639.98]]",[409.771598],279221,"2021-04-10 23:05:06"
326725,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[980.78,1001.65]]",[433.072666],279222,"2021-04-10 23:05:33"
1968537,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,2795,www.biigle.proyectosub.org/0004_GT.MP4,1,Point,"[[1721.76,585.91]]",[113.138779],1715682,"2023-11-27 23:54:01"
1968563,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,2795,www.biigle.proyectosub.org/0004_GT.MP4,1,Point,"[[1740.59,598.15]]",[124.207553],1715708,"2023-11-28 00:03:03"
1968618,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,2795,www.biigle.proyectosub.org/0004_GT.MP4,1,Point,"[[1132.92,863.45]]",[242.80485],1715763,"2023-11-28 00:11:37"
1968638,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,2795,www.biigle.proyectosub.org/0004_GT.MP4,1,Point,"[[382.16,892.51]]",[271.004759],1715783,"2023-11-28 00:13:23"
1968649,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,2795,www.biigle.proyectosub.org/0004_GT.MP4,1,Point,"[[913.46,902.99]]",[280.3089],1715794,"2023-11-28 00:14:08"
1968651,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,2795,www.biigle.proyectosub.org/0004_GT.MP4,1,Point,"[[987.8,687.98]]",[292.930396],1715796,"2023-11-28 00:14:45"
1968663,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,2795,www.biigle.proyectosub.org/0004_GT.MP4,1,Point,"[[850.11,570.22]]",[314.520586],1715808,"2023-11-28 00:16:04"
1968728,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,2796,www.biigle.proyectosub.org/0005_GT.MP4,1,Point,"[[1578.35,815.77]]",[334.617112],1715873,"2023-11-28 00:27:16"
1968848,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[427.31,749.11]]",[262.258064],1715993,"2023-11-28 00:39:07"
1968850,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[627.73,806.91]]",[270.638297],1715995,"2023-11-28 00:39:13"
1968854,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[820.17,820.33]]",[270.638297],1715999,"2023-11-28 00:39:24"
1968865,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[323.76,715.46]]",[303.829787],1716010,"2023-11-28 00:40:06"
1968877,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[447.29,260.19]]",[379.787234],1716022,"2023-11-28 00:41:06"
1968879,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[1006.89,233]]",[379.787234],1716024,"2023-11-28 00:41:11"
1968887,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[1575.92,424.79]]",[395.625667],1716032,"2023-11-28 00:41:46"
1969177,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,2795,www.biigle.proyectosub.org/0004_GT.MP4,1,Point,"[[170.86,658.99]]",[162.127659],1716322,"2023-11-28 13:10:07"
